Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
121,tt0093058,2012-03-06,2012-03-06,,Full Metal Jacket,https://www.imdb.com/title/tt0093058/,movie,8.3,116,1987,"Drama, War",598658,1987-06-17,Stanley Kubrick
122,tt0014429,2012-03-06,2012-03-06,,Safety Last!,https://www.imdb.com/title/tt0014429/,movie,8.2,70,1923,"Comedy, Thriller",16029,1923-04-01,"Fred C. Newmeyer, Sam Taylor"
123,tt0111257,2012-03-06,2012-03-06,,Speed,https://www.imdb.com/title/tt0111257/,movie,7.2,116,1994,"Action, Adventure, Crime, Thriller",298727,1994-06-10,Jan de Bont
124,tt0029843,2012-03-06,2012-03-06,,The Adventures of Robin Hood,https://www.imdb.com/title/tt0029843/,movie,8.0,102,1938,"Action, Adventure, Romance",43474,1938-05-12,"Michael Curtiz, William Keighley"
125,tt0031381,2012-03-06,2012-03-06,,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.2,238,1939,"Drama, History, Romance, War",260743,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
126,tt0055614,2012-03-06,2012-03-06,,West Side Story,https://www.imdb.com/title/tt0055614/,movie,7.6,153,1961,"Crime, Drama, Musical, Romance",86354,1961-10-18,"Jerome Robbins, Robert Wise"
127,tt0046250,2012-03-06,2012-03-06,,Roman Holiday,https://www.imdb.com/title/tt0046250/,movie,8.1,118,1953,"Comedy, Romance",116302,1953-08-20,William Wyler
128,tt0050105,2012-03-06,2012-03-06,,An Affair to Remember,https://www.imdb.com/title/tt0050105/,movie,7.6,115,1957,"Drama, Romance",25367,1957-07-11,Leo McCarey
129,tt0070903,2012-03-06,2012-03-06,,The Way We Were,https://www.imdb.com/title/tt0070903/,movie,7.1,118,1973,"Drama, Romance",19814,1973-10-16,Sydney Pollack
130,tt0059113,2012-03-06,2012-03-06,,Doctor Zhivago,https://www.imdb.com/title/tt0059113/,movie,8.0,197,1965,"Drama, Romance, War",63730,1965-12-22,David Lean
131,tt0066011,2012-03-06,2012-03-06,,Love Story,https://www.imdb.com/title/tt0066011/,movie,6.9,100,1970,"Drama, Romance",26720,1970-12-16,Arthur Hiller
132,tt0021749,2012-03-06,2012-03-06,,City Lights,https://www.imdb.com/title/tt0021749/,movie,8.5,87,1931,"Comedy, Drama, Romance",143230,1931-01-30,Charles Chaplin
133,tt0075686,2012-03-06,2012-03-06,,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",234354,1977-03-27,Woody Allen
134,tt0058385,2012-03-06,2012-03-06,,My Fair Lady,https://www.imdb.com/title/tt0058385/,movie,7.9,170,1964,"Drama, Family, Musical, Romance",78781,1964-10-21,George Cukor
135,tt0093565,2012-03-06,2012-03-06,,Moonstruck,https://www.imdb.com/title/tt0093565/,movie,7.1,102,1987,"Comedy, Drama, Romance",43026,1987-12-01,Norman Jewison
136,tt0099653,2012-03-06,2012-03-06,,Ghost,https://www.imdb.com/title/tt0099653/,movie,7.0,127,1990,"Drama, Fantasy, Romance, Thriller",176745,1990-07-13,Jerry Zucker
137,tt0045793,2012-03-06,2012-03-06,,From Here to Eternity,https://www.imdb.com/title/tt0045793/,movie,7.7,118,1953,"Drama, Romance, War",39044,1953-08-05,Fred Zinnemann
138,tt0100405,2012-03-06,2012-03-06,,Pretty Woman,https://www.imdb.com/title/tt0100405/,movie,7.0,119,1990,"Comedy, Romance",256172,1990-03-23,Garry Marshall
139,tt0082846,2012-03-06,2012-03-06,,On Golden Pond,https://www.imdb.com/title/tt0082846/,movie,7.7,109,1981,Drama,25131,1981-12-04,Mark Rydell
